club_id,club_name,role,name,username,email,plaintext_password,password_hash
CLB005,Web Development Club,PRESIDENT,Manoj Nair,manoj.nairCLB005,manoj.nairCLB005@college.edu,rD3iHCBlg%,$2b$12$BSJAK60yXHJLzkaHFfoQnOJZRZip0PWjuYIkiWJiUOOQKSBlpP9MC
CLB005,Web Development Club,VICE_PRESIDENT,Vihaan Kaur,vihaan.kaurCLB005,vihaan.kaurCLB005@college.edu,nAyF3@zE3C,$2b$12$aLLahHx62Jv8cEqqS5e6HOBA9BZGG473X/Gs9dpV.J1fNh4zj9qE2
CLB005,Web Development Club,FACULTY_COORDINATOR,Dr. Swati Nair,swati.nairCLB005.fac,swati.nairCLB005.fac@college.edu,$xsjn8mW9d,$2b$12$EQLih9QpIYTRohDsLFK2juaIZYEULoD2JOESuUWw/d2g76mmO20oe
CLB006,App Development Club,PRESIDENT,Pooja Bhatt,pooja.bhattCLB006,pooja.bhattCLB006@college.edu,8K41zh@tCp,$2b$12$FQlRFGpLbVKG9xbJK1qeaewFw4UAk6FbLs4SW.z/7L28CqxVrDZvG
CLB006,App Development Club,VICE_PRESIDENT,Ananya Mehta,ananya.mehtaCLB006,ananya.mehtaCLB006@college.edu,t5Piq@VwzQ,$2b$12$pDymP8G97SCF7ERShJZ7Y.dGnpBvrKhj8Q/KsAPxmIatdQbof.6fK
CLB006,App Development Club,FACULTY_COORDINATOR,Dr. Geeta Malhotra,geeta.malhotraCLB006.fac,geeta.malhotraCLB006.fac@college.edu,#isQ4ex4p2,$2b$12$mqrZlYFk0uOvXFGVMLzZIu3yUsJWQGTMsi7f53veyHQETcZcZz1YS
CLB007,Game Development Club,PRESIDENT,Alisha Nair,alisha.nairCLB007,alisha.nairCLB007@college.edu,nnr#MX2Tvs,$2b$12$JOgMPozlh.kaq6VPOBG9ZOlp2Kc0/EUHJTLNcZ0HFk/GiVBuzISem
CLB007,Game Development Club,VICE_PRESIDENT,Preeti Rao,preeti.raoCLB007,preeti.raoCLB007@college.edu,2#kCJVBkAT,$2b$12$lfEyT1czj0EvNr2Hp7rBmu2pHZLCSTayM8rU0enX1v2jEEPTLJcky
CLB007,Game Development Club,FACULTY_COORDINATOR,Dr. Krishna Nair,krishna.nairCLB007.fac,krishna.nairCLB007.fac@college.edu,e7xY0Nc3#5,$2b$12$o0J3ocRQAK8KAGUbCVd3bOSRnNS18C5kAEVxf2fWKNyYbM/ePrvxm
CLB008,Data Science Club,PRESIDENT,Alisha Mukherjee,alisha.mukherjeeCLB008,alisha.mukherjeeCLB008@college.edu,ZpQV3A$f5Z,$2b$12$0/JFdXRIrYNFrIEzoVi.aeG90/nMQhUAaLqYSZuckY.HWxStAidMy
CLB008,Data Science Club,VICE_PRESIDENT,Anjali Kapoor,anjali.kapoorCLB008,anjali.kapoorCLB008@college.edu,rmL3@vzQbj,$2b$12$lsNys9Ty/lFJmxqmJVIRHuqPvLDuzIeJ.H1CqI7rj19bhu2T9ZS.G
CLB008,Data Science Club,FACULTY_COORDINATOR,Prof. Preeti Khan,preeti.khanCLB008.fac,preeti.khanCLB008.fac@college.edu,wUI9Bc#fMg,$2b$12$NCwI/j1SAM9UD30KYgvUjuGgGK/9uJprVjPasls0jL/rnOkK2wmEW
CLB009,Cloud Computing Club,PRESIDENT,Aarav Bhatt,aarav.bhattCLB009,aarav.bhattCLB009@college.edu,Cvh25%Q5Uu,$2b$12$vPi4NeP0bJ2jXGGYAsD6T.uRNGidEwc3FkahI0PM58joI1t8E6Cne
CLB009,Cloud Computing Club,VICE_PRESIDENT,Alisha Chandra,alisha.chandraCLB009,alisha.chandraCLB009@college.edu,$e8R5RVyQ3,$2b$12$JdseAC4.lDiPfnKIXeqttepdDh0PlxzLOx.5qq8wjIU5piwyacvJ2
CLB009,Cloud Computing Club,FACULTY_COORDINATOR,Prof. Karan Mishra,karan.mishraCLB009.fac,karan.mishraCLB009.fac@college.edu,G#ZCCDns9R,$2b$12$.fRAZFp90GYMHH6/zq/RXOt.1ddOjKzYz4q1Drd1svlk6jb5kppp.
CLB010,Blockchain & Web3 Club,PRESIDENT,Manoj Pillai,manoj.pillaiCLB010,manoj.pillaiCLB010@college.edu,9!ADHKpmO4,$2b$12$BYFxV9Z4Eb4Kg4/eAMtDpuj/1OuL9e/S5iG2VJYI2b6yyZUdOp4F.
CLB010,Blockchain & Web3 Club,VICE_PRESIDENT,Kiara Chopra,kiara.chopraCLB010,kiara.chopraCLB010@college.edu,F$z2pdJh86,$2b$12$M/XcKMUb.H2Xm5yBpjXn9ut3BIrbbg3Vk.6vWX.KY4qb08Voekjsy
CLB010,Blockchain & Web3 Club,FACULTY_COORDINATOR,Prof. Vivaan Gupta,vivaan.guptaCLB010.fac,vivaan.guptaCLB010.fac@college.edu,OWR$2oqp1C,$2b$12$bswKpJbe4EYbjpZntTEnQe7IJcwJ4kInqIo6KV02BPHx9AakxIaHq
CLB011,IoT Innovators Club,PRESIDENT,Myra Joshi,myra.joshiCLB011,myra.joshiCLB011@college.edu,em2IAvD@HA,$2b$12$ecAx.tH4QFwK5uBijzUrq.gmWoaLVwDz6YliHlE.8KYL9Pm3ISSOq
CLB011,IoT Innovators Club,VICE_PRESIDENT,Kabir Agarwal,kabir.agarwalCLB011,kabir.agarwalCLB011@college.edu,WPy15a5#92,$2b$12$b5W.wpnLTEet0KErN4WFmubFC6EG8YFG9K4uqzcXh3n9OB5ysqFiy
CLB011,IoT Innovators Club,FACULTY_COORDINATOR,Dr. Ishaan Menon,ishaan.menonCLB011.fac,ishaan.menonCLB011.fac@college.edu,6N1k@DiI6M,$2b$12$cZwqRxD80wvwJEc7gQgWdepvP8hzsochXR2fuaxZ2CvXLlkcDkRZy
CLB012,Competitive Programming Club,PRESIDENT,Vihaan Desai,vihaan.desaiCLB012,vihaan.desaiCLB012@college.edu,1#16qW8KAy,$2b$12$fEt5pevfkEP2o5egarn3t.5csh8hMeYusi7389gQu9XsDmWxQZPBu
CLB012,Competitive Programming Club,VICE_PRESIDENT,Rahul Agarwal,rahul.agarwalCLB012,rahul.agarwalCLB012@college.edu,81muYpbN!0,$2b$12$OQb.FvneUK3lSKUXqMdibus1GFuy4hKivwOz7dry6Kt4i.kXY0iIS
CLB012,Competitive Programming Club,FACULTY_COORDINATOR,Prof. Yash Agarwal,yash.agarwalCLB012.fac,yash.agarwalCLB012.fac@college.edu,V9T%XYhlM2,$2b$12$9AlwrTrT9XOsLrdK2O2o/emCjXkZXMiPj/aZ8iruhg9NTWEMTnOpm
CLB013,Open Source Club,PRESIDENT,Arjun Kumar,arjun.kumarCLB013,arjun.kumarCLB013@college.edu,Y1BwI%VQtc,$2b$12$VooCg2BUDtAkuYcEGfXXSO8/Ocyi4vEZd4WkSQEPBGkzoAFzMfuuW
CLB013,Open Source Club,VICE_PRESIDENT,Deepak Mukherjee,deepak.mukherjeeCLB013,deepak.mukherjeeCLB013@college.edu,UUo2lH$9Pr,$2b$12$/N8nSenmm8gE0Y8eTjI01.FsxtkeE4apOK8/KKB8X8SdXrgCPscGm
CLB013,Open Source Club,FACULTY_COORDINATOR,Dr. Deepak Pillai,deepak.pillaiCLB013.fac,deepak.pillaiCLB013.fac@college.edu,yWQ@i7KNCD,$2b$12$/E6tzMeM1N7AUFK86wWNSOm8Wee.S47eBcGG5ASWRQw3x1FX5cGyy
CLB014,Electronics & Embedded Systems Club,PRESIDENT,Swati Desai,swati.desaiCLB014,swati.desaiCLB014@college.edu,@gU1AQFWpJ,$2b$12$fv..LUk7uHl8MYNBkMmCAO28qUESPNjLjhY8Vfzh9texGz1vzg7gK
CLB014,Electronics & Embedded Systems Club,VICE_PRESIDENT,Kabir Joshi,kabir.joshiCLB014,kabir.joshiCLB014@college.edu,JWhx4%HBEw,$2b$12$vK.cj.mFRvPizuw8bxCy7elm9gu1dPm1v/RjCUjaI.smIjF/EJaqW
CLB014,Electronics & Embedded Systems Club,FACULTY_COORDINATOR,Dr. Isha Sharma,isha.sharmaCLB014.fac,isha.sharmaCLB014.fac@college.edu,xIDhS8VW#3,$2b$12$vN66qXa72DjcvUTBpOtrN.AcSV73aYrEHa7QDFXzfDjZPAJCn5Bz2
CLB015,VR/AR Club,PRESIDENT,Riya Chatterjee,riya.chatterjeeCLB015,riya.chatterjeeCLB015@college.edu,OsiS!0JEi8,$2b$12$f31AOzinGlGXRhid/ELWb.6tydaC7LHRh/BtquWsSgZfAob6sk1wm
CLB015,VR/AR Club,VICE_PRESIDENT,Karan Malhotra,karan.malhotraCLB015,karan.malhotraCLB015@college.edu,e0$Fzhb4Fe,$2b$12$KeIvbipEBUdyC2JGPzW5g.EjKSpkbmW0rkzmUUlm6Xal9YM2At/wa
CLB015,VR/AR Club,FACULTY_COORDINATOR,Dr. Aarav Chandra,aarav.chandraCLB015.fac,aarav.chandraCLB015.fac@college.edu,yRYH%M6XoN,$2b$12$tA/AWyknC75PbB3GoFwmgejTmHs4jBN4hNZPzKT/ntR7G.QrUC4uS
CLB016,Cloud Native Club,PRESIDENT,Nandini Nair,nandini.nairCLB016,nandini.nairCLB016@college.edu,ak%C2hFeAS,$2b$12$qRguARnUuvzRwTE4IpgVT.AVYy/vsh7AkJuKWXj.BI4/0aE9bd6PG
CLB016,Cloud Native Club,VICE_PRESIDENT,Rakesh Bose,rakesh.boseCLB016,rakesh.boseCLB016@college.edu,QZC3YLYvO#,$2b$12$mhi3T24s/AROBx3cq.AmnusWFkLsTqTLR7x9pFI92Gc8CKFcC4dy6
CLB016,Cloud Native Club,FACULTY_COORDINATOR,Prof. Anika Iyer,anika.iyerCLB016.fac,anika.iyerCLB016.fac@college.edu,sBCK4%0V6f,$2b$12$x26M70U96gA/yeAe4Z/n/u18g9HbR36VmyR1x/D7tDC9fYQH7AYMG
CLB017,DevOps Club,PRESIDENT,Shreya Gupta,shreya.guptaCLB017,shreya.guptaCLB017@college.edu,8cRWb0%3AL,$2b$12$aRBX7Y1S1wq9.OXQdYviLOjqrqTmq0IWB1se4eNDGThaBriw6DlZO
CLB017,DevOps Club,VICE_PRESIDENT,Preeti Mishra,preeti.mishraCLB017,preeti.mishraCLB017@college.edu,pUwug$QvA1,$2b$12$jAkQxipP5MFDvrzpBH9CZeLlaaal8rCreYh3u7ku685aZcu1RPnmW
CLB017,DevOps Club,FACULTY_COORDINATOR,Dr. Shreya Desai,shreya.desaiCLB017.fac,shreya.desaiCLB017.fac@college.edu,huX5cG#z3O,$2b$12$jf6o75tjU2YMjd3qH0EcWutbE39DrGbj.v5FpSuON4nzFOFNqfP/6
CLB018,Networking & Systems Club,PRESIDENT,Rohit Pandey,rohit.pandeyCLB018,rohit.pandeyCLB018@college.edu,pbOjM$ZEh7,$2b$12$M7Rg0Tyb8cUM7bcAJQ8nW.vKJ3YTg1P8a9edgDWInlC.qJbh8coKi
CLB018,Networking & Systems Club,VICE_PRESIDENT,Rakesh Mehta,rakesh.mehtaCLB018,rakesh.mehtaCLB018@college.edu,2DTr7$uTGs,$2b$12$EjEHLoihttCOJxkrZdcFQOeXaqo/A1J0gopKjPXsL2cke5WSMF5Zi
CLB018,Networking & Systems Club,FACULTY_COORDINATOR,Prof. Ira Das,ira.dasCLB018.fac,ira.dasCLB018.fac@college.edu,vq2!YX2TrA,$2b$12$hcN9jw4wL3WBy7d0eirEg.nVnFKUGReUhYrS0.vopYOSpwp76yTfy
CLB019,Ethical Hacking Club,PRESIDENT,Sneha Singh,sneha.singhCLB019,sneha.singhCLB019@college.edu,o9W$hu2cXA,$2b$12$.vRTCwrxEwXzjO7V9Dmn7OiLTkS.pbJeb5cSrJuow5nP8n1oLQefS
CLB019,Ethical Hacking Club,VICE_PRESIDENT,Dhruv Bansal,dhruv.bansalCLB019,dhruv.bansalCLB019@college.edu,C63Hs2!5Qg,$2b$12$1Tk8wAM2mUCDpd35oj1qbuz3ioNd9N97hG0vQVu/qToYCcX8uLjhW
CLB019,Ethical Hacking Club,FACULTY_COORDINATOR,Prof. Anjali Chopra,anjali.chopraCLB019.fac,anjali.chopraCLB019.fac@college.edu,6t!2K2IRv2,$2b$12$hiskBLTRNGQus.Ytu6zYgOI7CVbi1EkBmkPfhXogEkhalRKeo8kqe
CLB020,UI/UX Design Club,PRESIDENT,Kiara Iyer,kiara.iyerCLB020,kiara.iyerCLB020@college.edu,YwWjxsu!0d,$2b$12$8gJFmLfAlesl1TJIK795xO5c/KMhvM6zj5VwwrrCvfoNbGCyGAhVi
CLB020,UI/UX Design Club,VICE_PRESIDENT,Siddharth Nair,siddharth.nairCLB020,siddharth.nairCLB020@college.edu,pLtFC6jR6%,$2b$12$ZwLwX4.qFurt98hOTD7Ed.H1W/8r7m0UKO/Q8CxFuSPrBVQEjW0ee
CLB020,UI/UX Design Club,FACULTY_COORDINATOR,Dr. Varun Kapoor,varun.kapoorCLB020.fac,varun.kapoorCLB020.fac@college.edu,S5OoC9q%tB,$2b$12$zflYRtrr4dBbmFlFh/EJ5OWolcx./i3.Ca4YdyqwjnOi4sqILAMne
CLB021,Quantum Computing Club,PRESIDENT,Tanvi Kulkarni,tanvi.kulkarniCLB021,tanvi.kulkarniCLB021@college.edu,5I19VFaM!6,$2b$12$sds6xgxM9l09w0qO85bXSOAncV/rd6JfXDlPkjMbNSzQKvpA2epqe
CLB021,Quantum Computing Club,VICE_PRESIDENT,Deepak Kulkarni,deepak.kulkarniCLB021,deepak.kulkarniCLB021@college.edu,LcUx#CUYd0,$2b$12$6OUuUoiH6EJGpSfpif/cF.Wkx.4EIW3vQExujIXQ3MePQthkLUB3a
CLB021,Quantum Computing Club,FACULTY_COORDINATOR,Dr. Sunita Kaur,sunita.kaurCLB021.fac,sunita.kaurCLB021.fac@college.edu,r5kq%Zr6G1,$2b$12$i68OPndqUC7.r1ujOhb8HuYik0eKqxUHtzAvOzTaneuGTYpwOfBCG
CLB022,AR/VR Innovation Club,PRESIDENT,Anjali Kaur,anjali.kaurCLB022,anjali.kaurCLB022@college.edu,8DR!iVAxRq,$2b$12$of8juGafVY1f64jEMi.aMecmdUItjAa1Lxaw8Qk1Xl6yjpf1oxFW.
CLB022,AR/VR Innovation Club,VICE_PRESIDENT,Geeta Das,geeta.dasCLB022,geeta.dasCLB022@college.edu,htS6P$hAT1,$2b$12$qK.yMqLpHshM6hcpYu/NNOgdEsqBGkao3tbBFQx0UuNwuDCRPq6/S
CLB022,AR/VR Innovation Club,FACULTY_COORDINATOR,Dr. Sai Kaur,sai.kaurCLB022.fac,sai.kaurCLB022.fac@college.edu,Lj4M5%AUoV,$2b$12$AsXjWcNoLnBvbLoh9GQCfubtDF14LN/YML6nXoaeVH4aQflBtSff.
CLB023,Full Stack Developers Club,PRESIDENT,Saanvi Pandey,saanvi.pandeyCLB023,saanvi.pandeyCLB023@college.edu,5h8Rzmr!u9,$2b$12$mj/RLKGIoB/1cIJlRjOTz.NIkOO2QNV2RTHWbFiCxQMXqOm4da9U6
CLB023,Full Stack Developers Club,VICE_PRESIDENT,Varun Mukherjee,varun.mukherjeeCLB023,varun.mukherjeeCLB023@college.edu,9nJHeeW1L@,$2b$12$NkUVm5UHfFA/DrTR1xzr2udRlEGfZ472CuYzWP1p17w5T9QMpRT0u
CLB023,Full Stack Developers Club,FACULTY_COORDINATOR,Dr. Reyansh Dutta,reyansh.duttaCLB023.fac,reyansh.duttaCLB023.fac@college.edu,hbi34rEa@Q,$2b$12$dgq.5PAu6moAeusacTdLGery0ED15XxVmExx1bmNxRzHQuPRKnhha
CLB024,Big Data Analytics Club,PRESIDENT,Kavya Reddy,kavya.reddyCLB024,kavya.reddyCLB024@college.edu,U1s$8QoNGc,$2b$12$UWHqMbdyH5sIEHUiC.Dd3OwifrylJw9yFzOgy5ndRRKkfrJkyTRsW
CLB024,Big Data Analytics Club,VICE_PRESIDENT,Sandeep Patel,sandeep.patelCLB024,sandeep.patelCLB024@college.edu,V$jMf5ue7d,$2b$12$5zM0qtGDNBM/fe11BTcAQ..TNi40MaG1cZqUs0W2ZbZUk/oM9v7.a
CLB024,Big Data Analytics Club,FACULTY_COORDINATOR,Prof. Varun Dutta,varun.duttaCLB024.fac,varun.duttaCLB024.fac@college.edu,OgY9hqPS$2,$2b$12$fvkOn/8g12rb/doKKkLIruPofcNY1NrEnXHXvZ2FLxLabHzO4llPm
CLB025,Automation & Drone Club,PRESIDENT,Nikhil Nair,nikhil.nairCLB025,nikhil.nairCLB025@college.edu,ef!BgffL71,$2b$12$Nt6fW62rto8dbN7JBhmcpOmb/D8c8e5cn6RTo4zueOUhgt99fzp7W
CLB025,Automation & Drone Club,VICE_PRESIDENT,Aryan Mishra,aryan.mishraCLB025,aryan.mishraCLB025@college.edu,69NMtsl!wg,$2b$12$QZ4VFPfuJDFX43Zleh5bhe67BSUgf0dSh6tp2af36.53eLc/BfIcO
CLB025,Automation & Drone Club,FACULTY_COORDINATOR,Dr. Suresh Desai,suresh.desaiCLB025.fac,suresh.desaiCLB025.fac@college.edu,Zl#B1oKR2J,$2b$12$4ki/VueahkdUaz7O.G.4Z.drHw1roO.FmaF7.E39.x/dUWWWVL2l.
CLB026,3D Printing & Fabrication Club,PRESIDENT,Simran Bansal,simran.bansalCLB026,simran.bansalCLB026@college.edu,SjVv6bVO!f,$2b$12$cEik1R//xrVMh84dGCt/COqnzvFP3f5BRlFQmxmmy7BqDX23dQ19S
CLB026,3D Printing & Fabrication Club,VICE_PRESIDENT,Dhruv Sharma,dhruv.sharmaCLB026,dhruv.sharmaCLB026@college.edu,kjdf4%9kXW,$2b$12$.Y.FjGfF1bbO4KplQ29BtOkWDpfcQTbOPOph2Ka.0LegWsTGO99j2
CLB026,3D Printing & Fabrication Club,FACULTY_COORDINATOR,Prof. Anjali Menon,anjali.menonCLB026.fac,anjali.menonCLB026.fac@college.edu,w3sB%iNhhR,$2b$12$Lo6Wd8WcsKn5s1xVx65MTuLvord4D8KU8KnsYxs1TyKrwvEMnJitO
CLB027,Software Engineering Club,PRESIDENT,Meera Bose,meera.boseCLB027,meera.boseCLB027@college.edu,7alIy$DioT,$2b$12$DVATeAGx5AZ8Avqjiaml/uif7xEW5Oh1bRT78d3HAM8kPMIRRC1/m
CLB027,Software Engineering Club,VICE_PRESIDENT,Vishal Rao,vishal.raoCLB027,vishal.raoCLB027@college.edu,OzA$Ks9CTk,$2b$12$7cIdKZbM2fsDrH8kii8qdOeLdSKbhUW7hl.AQkNYxwg67kE2hs.GK
CLB027,Software Engineering Club,FACULTY_COORDINATOR,Dr. Riya Agarwal,riya.agarwalCLB027.fac,riya.agarwalCLB027.fac@college.edu,fHzzCn1@LB,$2b$12$2B5WOeCH5iYBgPeZuBA.0uMnC7HKvCGCe4idICg3YqtUWJPmssii6
CLB028,Computer Vision Club,PRESIDENT,Ritu Chawla,ritu.chawlaCLB028,ritu.chawlaCLB028@college.edu,Ig%2WjWelP,$2b$12$7fcXOEpEOzbwsUV590csVeI4SC91klfEO6oYNG6xRLXKRt81qfgBW
CLB028,Computer Vision Club,VICE_PRESIDENT,Dhruv Menon,dhruv.menonCLB028,dhruv.menonCLB028@college.edu,tYCLr$1oOE,$2b$12$K6thoDH8nEI8k0OtDLt5Q.Tn/5inm2OOQ4VCOFGxHTlWctMU07//m
CLB028,Computer Vision Club,FACULTY_COORDINATOR,Prof. Reyansh Menon,reyansh.menonCLB028.fac,reyansh.menonCLB028.fac@college.edu,yGJcLM1%DJ,$2b$12$cKL0UiZNfl3Yve7ew1GopOVRk16uWBAgIEXWcfTLQnnSdWsc6mBZy
CLB029,Natural Language Processing Club,PRESIDENT,Reyansh Bansal,reyansh.bansalCLB029,reyansh.bansalCLB029@college.edu,%oNW67xxkH,$2b$12$zcEfxp9nK4.i9bSYp31JcuXzQqcTM0PG15F6vQVPep6f1Mth0aaNq
CLB029,Natural Language Processing Club,VICE_PRESIDENT,Vikram Iyer,vikram.iyerCLB029,vikram.iyerCLB029@college.edu,s%qUkRCy12,$2b$12$UfPEvrNfBQ.4SRjF3FnMZu/O0A6c9Wj9nCqBvZBDzsiGJ1BcpRRGW
CLB029,Natural Language Processing Club,FACULTY_COORDINATOR,Prof. Aditya Mukherjee,aditya.mukherjeeCLB029.fac,aditya.mukherjeeCLB029.fac@college.edu,JYE0#Pytv1,$2b$12$f4brU4uq.sVGiyN6ie8azuacVrg0s09xmVjFGZVypYc7JpufU7ySS
CLB030,FinTech Club,PRESIDENT,Meera Malhotra,meera.malhotraCLB030,meera.malhotraCLB030@college.edu,G1I#e2gYEX,$2b$12$FQZUIvFts55jiXUz7LlnuOXLj.80uFISoM0Uc0gAigiHwCy/O.4aO
CLB030,FinTech Club,VICE_PRESIDENT,Saanvi Bansal,saanvi.bansalCLB030,saanvi.bansalCLB030@college.edu,xF9wRCcUA@,$2b$12$zaS5NxnIOLNPDzoUAZLl7.EZPNuXx0Nvu61LP96754J3vaqy3C53a
CLB030,FinTech Club,FACULTY_COORDINATOR,Prof. Aadhya Chatterjee,aadhya.chatterjeeCLB030.fac,aadhya.chatterjeeCLB030.fac@college.edu,7J@RDKzC8x,$2b$12$DGk676xjcGlP8jQT7KxkYur5wSe9IJ6u2IFignt1Dld4VNl4Z9y2e
CLB031,Bioinformatics Club,PRESIDENT,Amit Singh,amit.singhCLB031,amit.singhCLB031@college.edu,rCjD1G1@j5,$2b$12$frKDFakpN9LoqJb4DSxsF.zxMIg/hBP3v3BQgcAxUe9wHRMOFsdfe
CLB031,Bioinformatics Club,VICE_PRESIDENT,Anjali Dutta,anjali.duttaCLB031,anjali.duttaCLB031@college.edu,xby@oMu5fq,$2b$12$6H0.6q2SKsZdIWUKOKzSROvvZzOM7k3qV.tgzrZrF/szZK888HtHm
CLB031,Bioinformatics Club,FACULTY_COORDINATOR,Dr. Vikram Bhatt,vikram.bhattCLB031.fac,vikram.bhattCLB031.fac@college.edu,NqfawbY57$,$2b$12$KiV4lBvBwuFACXR9gVtdtez7Tgv9Y8V4a0Byoj6R5HKCY0.cwoUBm
CLB032,Green Tech & Sustainability Tech Club,PRESIDENT,Myra Khan,myra.khanCLB032,myra.khanCLB032@college.edu,TGp!t8jPKO,$2b$12$QWBHuSj0BaoCLy3GyJ02DOqWWfxBBPX4y5b3BKST4cVUhcgSb1tim
CLB032,Green Tech & Sustainability Tech Club,VICE_PRESIDENT,Rohit Sinha,rohit.sinhaCLB032,rohit.sinhaCLB032@college.edu,lJbI1%GQGY,$2b$12$3zNuEEBhMEgo.rpH4yvNu.SOgnVK9ZYP4yujuKSgFYA0X5kzcS1Se
CLB032,Green Tech & Sustainability Tech Club,FACULTY_COORDINATOR,Prof. Arjun Reddy,arjun.reddyCLB032.fac,arjun.reddyCLB032.fac@college.edu,zQ#gpOL1UX,$2b$12$E0mIdye9HBh1n14Fcl9tC.WF7.GtN1LcWIxZ0a2V6beslla.Q.8IW
CLB033,Mobile Computing Club,PRESIDENT,Sunita Saxena,sunita.saxenaCLB033,sunita.saxenaCLB033@college.edu,74wmc!YsmC,$2b$12$OiRKd0vFAMysqNzLZMaVxOo8tfjH/H5kVI3snX1QvJTB/e3L5G3AK
CLB033,Mobile Computing Club,VICE_PRESIDENT,Deepak Singh,deepak.singhCLB033,deepak.singhCLB033@college.edu,YdP3#3Xuw3,$2b$12$/I1sR9KQ5ovO4KIKI5EXROvVKKi7HxuQe6kFVwSn.m/jNnP9gQD4G
CLB033,Mobile Computing Club,FACULTY_COORDINATOR,Prof. Swati Rao,swati.raoCLB033.fac,swati.raoCLB033.fac@college.edu,7F2ZH$MxkS,$2b$12$Gqq74F.HBdcWqvkuf7VNzODieJFy33U/wcIPGj.tCN6iHTjhzqhXq
CLB034,AI for Social Good Club,PRESIDENT,Aryan Nair,aryan.nairCLB034,aryan.nairCLB034@college.edu,6Cw@cTUSwC,$2b$12$pLF82y52Vv1wL3WlpQrjBeFgbwVSAAFNrG7T1EiQIBGCimyJ3xxnG
CLB034,AI for Social Good Club,VICE_PRESIDENT,Sai Agarwal,sai.agarwalCLB034,sai.agarwalCLB034@college.edu,X$9epAcePi,$2b$12$X6WUjuHAFG2b4khG/u7V2OUqVd8jxT.5G28wcnVUwimODAcoN0pTi
CLB034,AI for Social Good Club,FACULTY_COORDINATOR,Dr. Meera Pandey,meera.pandeyCLB034.fac,meera.pandeyCLB034.fac@college.edu,Hu7zxiLl!K,$2b$12$Mo7mp4YAbK27TUHxtWadF.NAIUkzu3ASkBEBXMKNgHLNEVEtDfRQ.
